,,Date,yes_d,yes_r,no_d,no_r,polarity
113,426,2013-07-31,178,222,18,3,-0.14014251781472684
113,427,2013-08-01,182,1,8,222,0.9564164648910412
113,428,2013-08-01,181,1,5,219,0.9704433497536946
113,429,2013-08-01,15,219,175,3,-0.912621359223301
113,430,2013-08-01,188,0,0,221,1.0
113,431,2013-08-01,9,223,182,0,-0.9565217391304348
113,432,2013-08-01,0,222,190,1,-0.9951573849878934
113,433,2013-08-01,2,221,187,2,-0.9805825242718447
113,434,2013-08-01,185,220,1,2,-0.08333333333333333
113,435,2013-08-01,15,224,174,2,-0.9180722891566265
113,436,2013-08-02,12,225,176,0,-0.9418886198547215
113,437,2013-08-02,6,221,183,2,-0.9611650485436893
113,438,2013-08-02,36,227,152,0,-0.8265060240963855
113,439,2013-08-02,181,5,8,221,0.9373493975903614
113,440,2013-08-02,181,1,9,226,0.9520383693045563
113,441,2013-08-02,185,0,4,228,0.9808153477218226
113,442,2013-08-02,188,2,2,224,0.9807692307692307
113,443,2013-08-02,185,0,2,227,0.9903381642512077
113,444,2013-08-02,6,226,184,0,-0.9711538461538461
113,445,2013-08-02,186,0,2,228,0.9903846153846154
113,446,2013-08-02,4,228,186,0,-0.9808612440191388
113,447,2013-09-09,185,194,0,32,0.05596107055961071
113,448,2013-09-09,188,227,0,0,-0.09397590361445783
113,449,2013-09-10,176,221,0,6,-0.0967741935483871
113,450,2013-09-10,178,218,0,10,-0.07389162561576355
113,451,2013-09-10,182,226,0,1,-0.10513447432762836
113,452,2013-09-10,193,226,0,1,-0.0761904761904762
113,453,2013-09-10,188,227,0,0,-0.09397590361445783
113,454,2013-09-10,192,222,0,5,-0.059665871121718374
113,455,2013-09-11,0,227,196,0,-1.0
113,456,2013-09-11,1,227,195,0,-0.9952718676122931
113,457,2013-09-12,5,230,192,0,-0.9765807962529274
113,458,2013-09-12,115,138,69,78,-0.035
113,459,2013-09-17,186,221,0,2,-0.08068459657701711
113,460,2013-09-17,183,224,0,0,-0.10073710073710074
113,461,2013-09-17,181,202,0,24,0.007371007371007371
113,462,2013-09-18,0,229,192,0,-1.0
113,463,2013-09-18,3,228,190,0,-0.9857482185273159
113,464,2013-09-18,195,207,1,21,0.018867924528301886
113,465,2013-09-18,187,0,10,231,0.9532710280373832
113,466,2013-09-18,188,1,8,229,0.9577464788732394
113,467,2013-09-18,186,0,10,230,0.9530516431924883
113,468,2013-09-18,190,1,5,230,0.971830985915493
113,469,2013-09-18,196,1,0,229,0.9953051643192489
113,470,2013-09-18,15,231,179,0,-0.9294117647058824
113,471,2013-09-19,2,230,193,0,-0.9905882352941177
113,472,2013-09-19,1,229,192,0,-0.995260663507109
113,473,2013-09-19,2,229,192,1,-0.9858490566037735
113,474,2013-09-19,192,1,0,230,0.9952718676122931
113,475,2013-09-19,0,217,196,15,-0.9299065420560748
113,476,2013-09-20,189,1,0,228,0.9952153110047847
113,477,2013-09-20,2,228,189,1,-0.9857142857142858
113,478,2013-09-20,2,217,187,9,-0.946987951807229
113,479,2013-09-20,17,226,170,2,-0.908433734939759
113,480,2013-09-20,22,227,165,1,-0.8891566265060241
113,481,2013-09-20,190,0,0,228,1.0
113,482,2013-09-20,17,227,173,1,-0.9138755980861244
113,483,2013-09-25,82,198,84,5,-0.5284552845528455
113,484,2013-09-25,169,199,0,0,-0.08152173913043478
113,485,2013-09-26,183,222,0,0,-0.0962962962962963
113,486,2013-09-26,186,224,0,0,-0.09268292682926829
113,487,2013-09-26,119,141,61,76,-0.017632241813602016
113,488,2013-09-26,178,2,9,218,0.9459459459459459
113,489,2013-09-26,185,6,1,216,0.9656862745098039
